gene,enzyme_wild,enzyme_over,reaction_bio,reaction_pro,ref_e_con(g/gDW),over_e_con(g/gDW),Fold_change,enzyme_usage_over,manipulations_x,e1(mmol/gDW),kcat(1/h),mw(g/mg),reaction,flux_wild,flux_over,equation,manipulations_y,type
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,3OAS121_num1,"['0.000e+00', '1.099e-01']","['0.000e+00', '1.620e-02']",cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,3OAS140_num1,"['0.000e+00', '9.092e-02']","['0.000e+00', '1.341e-02']",ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,3OAS141_num1,"['0.000e+00', '1.099e-01']","['0.000e+00', '1.620e-02']",cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,3OAS160_num1,"['0.000e+00', '8.961e-02']","['0.000e+00', '1.321e-02']",h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,3OAS161_num1,"['0.000e+00', '1.075e-01']","['0.000e+00', '1.585e-02']",h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,3OAS180_num1,"['0.000e+00', '1.837e-03']","['0.000e+00', '2.709e-04']",h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,3OAS181_num1,"['0.000e+00', '1.053e-01']","['0.000e+00', '1.553e-02']",h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,3OAS60_num1,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,3OAS80_num1,"['0.000e+00', '2.008e-01']","['0.000e+00', '2.960e-02']",h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,AACPS1_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",ACP_c + atp_c + ttdca_c --> amp_c + myrsACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,AACPS2_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",ACP_c + atp_c + ttdcea_c --> amp_c + ppi_c + tdeACP_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,AACPS3_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",ACP_c + atp_c + hdca_c --> amp_c + palmACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,AACPS4_num1,"['0.000e+00', '5.604e+00']","['0.000e+00', '6.971e+00']",ACP_c + atp_c + hdcea_c --> amp_c + hdeACP_c + ppi_c,,Overlaped Reaction Range
Cgl2491,"['4.132e-03', '4.289e-03']","['4.190e-04', '5.122e-04']","3OAS100_num1 (0.18833934715598002): h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c, 3OAS121_num1 (0.10304996128759072): cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c, 3OAS141_num1 (0.10304996128759072): cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c, 3OAS161_num1 (0.10080994793292956): h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c, 3OAS60_num1 (0.18833934715552525): butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c, 3OAS80_num1 (0.18833934715598002): h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c, KAS15_num1 (0.18833934715552525): accoa_c + h_c + malACP_c --> actACP_c + co2_c + coa_c",,0.004168,0.0004387,0.1053,0.6928,down,2.974e-05,,14.75,AACPS5_num1,"['0.000e+00', '0.000e+00']","['0.000e+00', '0.000e+00']",ACP_c + atp_c + ocdcea_c --> amp_c + octeACP_c + ppi_c,,Overlaped Reaction Range
